model,lr,hidden_size,batch_size,pooling_style,accuracy,time

cnn,0.001,64,128,avg,0.8728,11

cnn,0.001,64,128,max,0.8786,11

cnn,0.001,64,256,avg,0.8766,8

cnn,0.001,64,256,max,0.8741,8

cnn,0.001,128,128,avg,0.8661,22

cnn,0.001,128,128,max,0.887,21

cnn,0.001,128,256,avg,0.8745,17

cnn,0.001,128,256,max,0.8862,18

cnn,0.0001,64,128,avg,0.8257,10

cnn,0.0001,64,128,max,0.8707,10

cnn,0.0001,64,256,avg,0.819,7

cnn,0.0001,64,256,max,0.8532,8

cnn,0.0001,128,128,avg,0.8549,21

cnn,0.0001,128,128,max,0.8891,23

cnn,0.0001,128,256,avg,0.8503,17

cnn,0.0001,128,256,max,0.8849,18

rnn,0.001,64,128,avg,0.8728,22

rnn,0.001,64,128,max,0.6764,22

rnn,0.001,64,256,avg,0.6764,15

rnn,0.001,64,256,max,0.8766,16

rnn,0.001,128,128,avg,0.8628,40

rnn,0.001,128,128,max,0.8761,41

rnn,0.001,128,256,avg,0.6764,33

rnn,0.001,128,256,max,0.8766,32

rnn,0.0001,64,128,avg,0.6764,23

rnn,0.0001,64,128,max,0.8524,23

rnn,0.0001,64,256,avg,0.829,16

rnn,0.0001,64,256,max,0.8353,17

rnn,0.0001,128,128,avg,0.8724,42

rnn,0.0001,128,128,max,0.8745,40

rnn,0.0001,128,256,avg,0.8632,30

rnn,0.0001,128,256,max,0.6764,31

fast_text,0.001,64,128,avg,0.8786,5

fast_text,0.001,64,128,max,0.8649,6

fast_text,0.001,64,256,avg,0.877,4

fast_text,0.001,64,256,max,0.842,4

fast_text,0.001,128,128,avg,0.8791,9

fast_text,0.001,128,128,max,0.8661,10

fast_text,0.001,128,256,avg,0.8824,6

fast_text,0.001,128,256,max,0.8599,7

fast_text,0.0001,64,128,avg,0.7877,6

fast_text,0.0001,64,128,max,0.7456,7

fast_text,0.0001,64,256,avg,0.7661,5

fast_text,0.0001,64,256,max,0.6764,4

fast_text,0.0001,128,128,avg,0.6768,9

fast_text,0.0001,128,128,max,0.7631,10

fast_text,0.0001,128,256,avg,0.7811,6

fast_text,0.0001,128,256,max,0.7611,7

lstm,0.001,64,128,avg,0.6764,29

lstm,0.001,64,128,max,0.8774,27

lstm,0.001,64,256,avg,0.8607,23

lstm,0.001,64,256,max,0.877,23

lstm,0.001,128,128,avg,0.8707,65

lstm,0.001,128,128,max,0.8803,66

lstm,0.001,128,256,avg,0.8632,60

lstm,0.001,128,256,max,0.6764,60

lstm,0.0001,64,128,avg,0.6764,26

lstm,0.0001,64,128,max,0.6764,28

lstm,0.0001,64,256,avg,0.6764,22

lstm,0.0001,64,256,max,0.6764,22

lstm,0.0001,128,128,avg,0.8778,64

lstm,0.0001,128,128,max,0.6764,64

lstm,0.0001,128,256,avg,0.6764,57

lstm,0.0001,128,256,max,0.8691,59

gated_cnn,0.001,64,128,avg,0.8837,16

gated_cnn,0.001,64,128,max,0.8849,16

gated_cnn,0.001,64,256,avg,0.8816,13

gated_cnn,0.001,64,256,max,0.8745,13

gated_cnn,0.001,128,128,avg,0.8782,36

gated_cnn,0.001,128,128,max,0.8786,37

gated_cnn,0.001,128,256,avg,0.8816,32

gated_cnn,0.001,128,256,max,0.8807,33

gated_cnn,0.0001,64,128,avg,0.8486,17

gated_cnn,0.0001,64,128,max,0.6768,17

gated_cnn,0.0001,64,256,avg,0.8207,13

gated_cnn,0.0001,64,256,max,0.804,14

gated_cnn,0.0001,128,128,avg,0.8699,37

gated_cnn,0.0001,128,128,max,0.8849,38

gated_cnn,0.0001,128,256,avg,0.8582,34

gated_cnn,0.0001,128,256,max,0.8853,34

bert,0.001,64,128,avg,0.8561,1320

bert,0.001,64,128,max,0.6764,1301

bert,0.001,64,256,avg,0.8507,1325

bert,0.001,64,256,max,0.8641,1278

bert,0.001,128,128,avg,0.6764,1424

bert,0.001,128,128,max,0.6764,1489

bert,0.001,128,256,avg,0.6764,1257

bert,0.001,128,256,max,0.6764,1180


bert_cnn,0.001,64,256,avg,0.6764,1529

bert_lstm,0.001,64,256,avg,0.6764,1955

rcnn,0.001,64,256,avg,0.6764,43

